cover_image_url,created_at,description,ends_at,format,id,is_18_plus,latitude,longitude,name,price_max_zar,price_min_zar,recurring_month,slug,starts_at,ticket_url,ticketing_platform,venue_name,website_url,wo_appellation_id
,2026-08-02T11:20:43.166656+00:00,Summer tasting,,grand-tasting,4b099981-04ac-4a1c-bf53-8624f6b4f354,True,,,Franschhoek Summer Wines,,350.0,3,ev-franschhoek-summer,,,Webtickets,Leopards Leap,,
,2026-08-02T11:20:05.925229+00:00,Village tasting,,hop-between,bcd57edc-9b4c-4775-84cc-17972e0890be,True,,,Greyton Fire + Wine,,690.0,7,greyton-fire,,,Quicket,Greyton,,
,2026-08-02T11:20:47.13965+00:00,Village tasting,,hop-between,243aebe3-1789-42e5-a18d-14841da3eaac,True,,,Greyton Fire Wine,,690.0,7,ev-greyton-fire,,,Quicket,Greyton,,
,2026-08-02T11:20:51.97618+00:00,Summer village,,hop-between,846e448f-b863-4ae1-945b-7a600f6d1601,True,,,Greyton Summer,,640.0,11,ev-greyton-summer,,,Quicket,Greyton,,
,2026-08-02T11:20:41.525073+00:00,Pinot Noir showcase,,grand-tasting,cc81e539-1e79-4776-a79a-a7c4978a768e,True,,,Hemel-en-Aarde Pinot Noir,,,1,ev-hemel-pinot,,,,Hermanus,,
,2026-08-02T11:20:48.106377+00:00,Music art food wine,,grand-tasting,47414b02-565e-4f08-b36e-6429571d04b5,True,,,Klein Karoo Klassique,,100.0,8,ev-klassique,,,Quicket,Oudtshoorn,,
,2026-08-02T11:20:05.925229+00:00,Oyster Festival wine event,,grand-tasting,03f82076-03dd-4003-a307-f5b407e89320,True,,,Knysna Fine Wine,,300.0,7,knysna-wine,,,Quicket,Knysna,,
,2026-08-02T11:20:46.540373+00:00,Oyster Festival wine,,grand-tasting,bb3d233a-0148-4ac2-a636-e852da098511,True,,,Knysna Fine Wine,,300.0,7,ev-knysna,,,Quicket,Knysna,,
,2026-08-02T11:20:42.554697+00:00,Grape-stomp,,open-cellars,0b2ceed6-198f-4163-9f58-981b24efa4e6,True,,,Nederburg Harvest Festival,,1495.0,2,ev-nederburg-harvest,,,,"Nederburg, Paarl",,
,2026-08-02T11:20:50.12537+00:00,Pinotage Day Diemersfontein,,grand-tasting,eeea2017-5b1c-4b6a-9693-918af5b91961,True,,,Pinotage On Tap,,395.0,10,ev-pot,,,iTickets,"Diemersfontein, Wellington",,
,2026-08-02T11:20:43.485229+00:00,60+ wine stands,,trade-show,85102a99-9534-4b7b-8244-9952e12cd685,True,,,PnP Cape Town,,350.0,4,ev-pnp-ct,,,,"Claremont, Cape Town",,
,2026-08-02T11:20:48.434084+00:00,Joburg PnP tour,,trade-show,1cf98f04-cbcd-4909-a2cb-33ebfa463490,True,,,PnP Johannesburg,,350.0,8,ev-pnp-jozi,,,,"Wanderers, Johannesburg",,
,2026-08-02T11:20:42.183273+00:00,Simonsberg wines,,grand-tasting,9c292e73-79e2-4531-8c93-02f059c86a88,True,,,Simonsberg Wine Festival,,350.0,2,ev-simonsberg,,,Quicket,"Plaisir, Simondium",,
,2026-08-02T11:20:44.391821+00:00,Robertson slow food,,open-cellars,00c22727-015c-4fd7-9ffa-7428dcfb5ab7,True,,,Sip Savour Mountains,,250.0,5,ev-sip-mountains,,,Webtickets,Robertson,,
,2026-08-02T11:20:50.749703+00:00,Riverside tasting,,hop-between,6bad0d04-9abb-44ee-be9d-3161456fae2d,True,,,Sip Savour River,,250.0,10,ev-sip-river,,,Webtickets,Robertson,,
,2026-08-02T11:20:05.925229+00:00,Grand tasting,,grand-tasting,0531d6a7-4422-413f-8050-0c3c0b4bd2b5,True,,,Stellenbosch Wine Festival,,600.0,7,stellenbosch-fest,,,Own portal,Stellenbosch Town Hall,,
,2026-08-02T11:20:46.234362+00:00,Grand tasting,,grand-tasting,9dc07928-7841-4e3f-9a7f-8db1dac6edbd,True,,,Stellenbosch Wine Festival,,600.0,7,ev-stellenbosch-fest,,,Own portal,Stellenbosch,,
,2026-08-02T11:20:52.283171+00:00,Street tasting,,hop-between,e01fcdb2-154b-46c2-ae3f-dfbb98a14ea8,True,,,Street Soiree,,250.0,11,ev-soiree,,,Plankton,"Drostdy Street, Stellenbosch",,
,2026-08-02T11:20:49.507+00:00,Olive harvest wine,,grand-tasting,03a97f60-d738-4fdf-9fe2-591ce3d1fd52,True,,,Swartland Olive Festival,,150.0,9,ev-olive,,,Webtickets,Riebeek-Kasteel,,
,2026-08-02T11:20:51.357538+00:00,Artisan wine movement,,grand-tasting,630826ce-1c44-401f-a223-98fa4597bcbf,True,,,Swartland Revolution,,450.0,11,ev-swartland-rev,,,Quicket,Riebeek-Kasteel,,
,2026-08-02T11:19:26.933343+00:00,Test,,grand-tasting,5d1b7966-34f1-4ceb-973c-1da5f4bda9c9,True,,,Test Event,,,1,test-event-1,,,,Test,,
,2026-08-02T11:20:47.482472+00:00,Multi-city tasting,,grand-tasting,8b6e40ca-cb3f-4e94-8c71-f239456ce0f0,True,,,TOPS at SPAR,,200.0,7,ev-tops,,,Quicket,Multi-city,,
,2026-08-02T11:20:05.925229+00:00,Multi-city tasting,,grand-tasting,a16a41a8-799a-4dce-a8de-d0ba990b9ebf,True,,,TOPS at SPAR,,200.0,7,tops-spar,,,Quicket,Multi-city,,
,2026-08-02T11:20:45.00177+00:00,40+ wineries,,open-cellars,f508d800-2dfa-47fb-aaeb-3529fb75010e,True,,,Wacky Wine Weekend,,250.0,6,ev-wacky-wine,,,Webtickets,Robertson,,
,2026-08-02T11:20:45.931831+00:00,60+ producers,,grand-tasting,3bce8cce-a70c-4f66-99c5-2521fd8a2d4f,True,,,Wine Town Stellenbosch,,600.0,7,ev-wine-town,,,Own portal,Stellenbosch,,
,2026-08-02T11:20:50.435503+00:00,SA largest wine expo,,trade-show,b436d743-25d6-4c8b-bb0f-a80d57b46658,True,,,WineX,,200.0,10,ev-winex,,,Direct,Sandton,,
,2026-08-02T11:20:44.694327+00:00,Afrikaans wine tasting,,grand-tasting,845ceef9-43fb-4701-8cff-37b46e567445,True,,,Wynproefees,,350.0,5,ev-wynproefees,,,Quicket,Meerendal,,
